Campaign report
"September 2, 2025 - September 2, 2025"
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Bid strategy type,Conv. rate,Conversions,Cost / conv.
Enabled,PMax | NeuralForge 251011025729,21.06, --,Daily,Eligible (Learning),bidding strategy learning; unknown,99.90,Performance Max,0,0, --,EUR,0,0.00,Maximize Conversions,0.00%,0.00,0.00
Enabled,PMax | Agentom 251011054352,1.06, --,Daily,Pending,most asset groups under review,99.90,Performance Max,0,0, --,EUR,0,0.00,Maximize Conversions,0.00%,0.00,0.00
Total: Campaigns, --, --, --, --, --,, --, --,0,0, --,EUR,0,0.00, --,0.00%,0.00,0.00
Total: Account,,,,,,,,,0,0, --,EUR,0,0.00,,0.00%,0.00,0.00
Total: Performance Max,,,,,,,,Performance Max,0,0, --,EUR,0,0.00,,0.00%,0.00,0.00
